song_id	title	raaga	thaat	taala	form	lead_artist	concert	length_sec	layer
26	Sudh Sarang	Śuddh sāraṅg	bilawal	ēktāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	805.5	-1
27	Taal and Sur of Thekas	unknown	unknown	unknown	unknown	Ajoy Chakrabarty	unknown	284.4	-1
28	Todi	Tōḍī	todi	Jhūmrā, Tīntāl	unknown	Ajoy Chakrabarty	unknown	541.5	-1
29	Raag Bilaskhani Todi	Bilāsakhānī tōḍī	todi	unknown	unknown	Kaustuv Kanti Ganguli	unknown	411.9	-1
30	Raag Desh	Dēś	khamaj	unknown	unknown	Kaustuv Kanti Ganguli	unknown	386.9	-1
31	Raag Lalit	Lalit	poorvi	unknown	unknown	Kaustuv Kanti Ganguli	unknown	378.1	-1
32	Raag Madhukauns	Madhukauns	bhairavi	unknown	unknown	Kaustuv Kanti Ganguli	unknown	565.4	-1
33	Raag Marwa	Mārvā	marwa	unknown	unknown	Kaustuv Kanti Ganguli	unknown	392.7	-1
34	Raag Miyan Malhar	Miyām̐ malhār	kafi	unknown	unknown	Kaustuv Kanti Ganguli	unknown	546.7	-1
35	Raag Puriya Dhanashree	Puriyā dhanaśrī	marwa	unknown	unknown	Kaustuv Kanti Ganguli	unknown	392.4	-1
36	Raag Yaman	Yaman kalyāṇ	kalyan	unknown	unknown	Kaustuv Kanti Ganguli	unknown	351.1	-1
37	Irani Bhairavi Thumri	Bhairavi	bhairavi	Kēharvā	unknown	Brajeshwar Mukherjee	unknown	360.3	-1
38	Raag Bairagi	Bairāgi	bhairav	ēktāl, Tīntāl	unknown	Brajeshwar Mukherjee	unknown	2513.3	-1
39	Raag Saraswati	Sarasvati	kalyan	Tīntāl	unknown	Brajeshwar Mukherjee	unknown	790.0	-1
40	Raag Abhogi	Ābhōgī	kafi	ēktāl, Tīntāl	unknown	unknown	unknown	1882.7	-1
41	Raag Megh	Mēgh	kafi	ēktāl, ēktāl	unknown	unknown	unknown	1766.9	-1
42	Raag Abhogi	Ābhōgī	kafi	Jhaptāl, Tīntāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	2569.1	-1
43	Raag Khamaj	Khamāj	khamaj	Tīntāl	unknown	Ajoy Chakrabarty	unknown	1165.6	-1
44	Raag Rageshri	Rāgēśrī	khamaj	ēktāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	2110.8	-1
45	Raag Ahir Bhairon	Ahira bhairav	bhairav	ēktāl, Tilavāḍā	unknown	unknown	unknown	2365.2	-1
46	Raag Todi	Tōḍī	todi	Tīntāl, Tīntāl	unknown	unknown	unknown	1056.2	-1
47	Bhairavi Bhajan	Bhairavi	bhairavi	Kēharvā, Rūpak	unknown	unknown	unknown	898.4	-1
48	Raag Bageshree	Bāgēśrī	kafi	ēktāl, ēktāl, Tīntāl	unknown	unknown	unknown	2293.1	-1
49	Raag Bahar	Bahār	kafi	ēktāl, Tīntāl, Tilavāḍā	unknown	unknown	unknown	1670.2	-1
50	Raag Gaud Malhar	Gauḍ malhār	khamaj	Tīntāl, Tilavāḍā	unknown	unknown	unknown	1555.1	-1
51	Raag Yaman	Yaman kalyāṇ	kalyan	Tīntāl	unknown	unknown	unknown	1081.7	-1
52	Raag Bhairav	Bhairav	bhairav	ēktāl, Jhaptāl	unknown	unknown	unknown	1457.6	-1
53	Raag Dhani	Dhanī	kafi	unknown	unknown	unknown	unknown	2048.6	-1
54	Bhairavi Thumri	Bhairavi	bhairavi	Jaṭ	unknown	unknown	unknown	718.9	-1
55	Raag Bhatiyar	Bhāṭiyār	marwa	ēktāl, ēktāl, Jhaptāl	unknown	unknown	unknown	2279.0	-1
56	Raag Bhimpalasi	Bhimapalās	kafi	Jhaptāl, Tīntāl	unknown	unknown	unknown	1617.9	-1
57	Raag Multani	Multāni	todi	Tīntāl, Tīntāl	unknown	unknown	unknown	2527.5	-1
58	Raag Bhoopali	Bhūp	bilawal	ēktāl, Tīntāl	unknown	unknown	unknown	3346.6	-1
59	Raag Gavti	Gavti	kafi	Rūpak, Tīntāl	unknown	unknown	unknown	1645.6	-1
60	Raag Bhoopali	unknown	unknown	unknown	unknown	Sameehan Kashalkar	unknown	3022.4	-1
61	Raag Paraj	unknown	unknown	unknown	unknown	Sameehan Kashalkar	unknown	913.4	-1
62	Bhairavi Dadra	Bhairavi	bhairavi	Dādrā	unknown	unknown	unknown	601.5	-1
63	Raag Bihag	Bihāg	bilawal	Tīntāl, Tīntāl, Tilavāḍā	unknown	unknown	unknown	2517.1	-1
64	Raag Bihag	Bihāg	bilawal	ēktāl, Tīntāl	unknown	Deborshee Bhattacharya	unknown	3990.0	-1
65	Raag Hameer	Hamīr	bilawal	ēktāl, Jhaptāl	unknown	unknown	unknown	901.1	-1
66	Raag Jog	Jōg	khamaj	ēktāl, Tīntāl	unknown	unknown	unknown	2013.5	-1
67	Kirwani Bhajan	Kīravāṇi	kalyan	ēktāl	unknown	Kaustuv Kanti Ganguli	unknown	603.9	-1
68	Raag Jog	Jōg	khamaj	ēktāl, Jhaptāl, Tīntāl	unknown	Kaustuv Kanti Ganguli	unknown	2923.7	-1
69	Raag Bhimpalasi	Bhimapalās	kafi	ēktāl, Tīntāl, Tīntāl	unknown	unknown	unknown	2006.0	-1
70	Raag Dhani	Dhanī	kafi	ēktāl, Tīntāl	unknown	unknown	unknown	848.2	-1
71	Raag Kalyan	Kalyāṇ	kalyan	Jhūmrā, Tīntāl, Tīntāl	unknown	unknown	unknown	2032.0	-1
72	Raag Jog	Jōg	khamaj	ēktāl, Jhaptāl, Tīntāl	unknown	Ajoy Chakrabarty	unknown	3147.3	-1
73	Raag Kedar	Kēdār	kalyan	ēktāl, Jhaptāl, Jhūmrā, Tīntāl	unknown	Ajoy Chakrabarty	unknown	2727.0	-1
74	Raag Kedar	unknown	unknown	unknown	unknown	Sameehan Kashalkar	unknown	2622.9	-1
75	Raag Sohani	unknown	unknown	unknown	unknown	Sameehan Kashalkar	unknown	678.2	-1
76	Nirgun Bhajan	Miśra kaliṅgaḍā	bhairavi	unknown	unknown	unknown	unknown	787.0	-1
77	Raag Lagan Gandhar	Lagan gāndhār	marwa	ēktāl, Tīntāl	unknown	unknown	unknown	2953.0	-1
78	Raag Bibhas	Bibhās	bhairav	Tīntāl	unknown	unknown	unknown	849.6	-1
79	Raag Lalit	Lalit	poorvi	Jhaptāl, Tīntāl	unknown	unknown	unknown	2445.4	-1
80	Majh Khamaj Thumri	Mājh khamāj	khamaj	unknown	unknown	unknown	unknown	323.5	-1
81	Raag Chandrakauns	Candrakauns	bhairavi	Tīntāl	unknown	unknown	unknown	239.0	-1
82	Raag Malkauns	Mālkauns	bhairavi	Jhaptāl, Tīntāl, Tīntāl	unknown	unknown	unknown	2318.3	-1
83	Raag Hameer	Hamīr	bilawal	Tīntāl, Tīntāl	unknown	unknown	unknown	1131.6	-1
84	Raag Marwa	Mārvā	marwa	ēktāl, Tilavāḍā	unknown	unknown	unknown	2039.7	-1
85	Raag Marwa	Mārvā	marwa	Tīntāl, Tilavāḍā	unknown	unknown	unknown	1937.8	-1
86	Raag Shree	Śrī	poorvi	Tīntāl, Tilavāḍā	unknown	unknown	unknown	2250.3	-1
87	Raag Mian Malhar	Miyām̐ malhār	kafi	ēktāl, Tīntāl	unknown	unknown	unknown	3931.4	-1
88	Raag Ramdasi Malhar	Rāmdāsī malhār	bhairav	Tīntāl, Tīntāl	unknown	unknown	unknown	695.4	-1
89	Raag Mian Malhar	Miyām̐ malhār	kafi	ēktāl, ēktāl, ēktāl	unknown	unknown	unknown	2848.0	-1
90	Raag Ramdasi Malhar	Rāmdāsī malhār	bhairav	Tīntāl, Tīntāl	unknown	unknown	unknown	674.5	-1
91	Raag Gaud Malhar	unknown	unknown	unknown	unknown	Sameehan Kashalkar	unknown	952.2	-1
92	Raag Poorva	unknown	unknown	unknown	unknown	Sameehan Kashalkar	unknown	2945.2	-1
93	Raag Bhimpalasi	unknown	unknown	unknown	unknown	Brajeshwar Mukherjee	unknown	873.0	-1
94	Raag Puriya	unknown	unknown	unknown	unknown	Brajeshwar Mukherjee	unknown	1849.5	-1
95	Raag Bahar	unknown	unknown	unknown	unknown	Ulhas Kashalkar	unknown	683.4	-1
96	Raag Sawani	unknown	unknown	unknown	unknown	Ulhas Kashalkar	unknown	1322.1	-1
97	Raag Shree	Śrī	poorvi	ēktāl, Tīntāl	unknown	Deborshee Bhattacharya	unknown	3135.0	-1
98	Raag Shree	Śrī	poorvi	ēktāl, Jhaptāl, Tīntāl	unknown	unknown	unknown	3819.0	-1
99	Bhairavi Thumri	Bhairavi	bhairavi	Jaṭ	unknown	Kaustuv Kanti Ganguli	unknown	1152.7	-1
100	Raag Lalit Pancham	Lalit pañcam	poorvi	Tīntāl, Tīntāl	unknown	Kaustuv Kanti Ganguli	unknown	2040.0	-1
101	Raag Shree	Śrī	poorvi	ēktāl, Jhaptāl, Tīntāl	unknown	Kaustuv Kanti Ganguli	unknown	3969.7	-1
102	Raag Todi	Tōḍī	todi	ēktāl, Tīntāl	unknown	unknown	unknown	4265.0	-1
103	Introduction about Ajoy Chakrabarty	unknown	unknown	unknown	unknown	unknown	unknown	210.4	-1
104	Introductory speech by Ajoy Chakrabarty	unknown	unknown	unknown	unknown	unknown	unknown	183.1	-1
105	Raga Lalit - Khayal	Lalit	poorvi	ēktāl, Tīntāl	unknown	unknown	unknown	3617.0	-1
106	Raga Shree - Khayal	Śrī	poorvi	ēktāl, Tīntāl	unknown	unknown	unknown	2950.8	-1
107	Thumri in Piloo	Miśra pīlū	khamaj	Jaṭ	unknown	unknown	unknown	765.3	-1
